Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_002901205.1		Primary Assembly	Un			PDCF01010643.1	Chromosome		NW_019777269.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010644.1	Chromosome		NW_019777270.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01001069.1	Chromosome		NW_019777271.1	unplaced-scaffold	15023		
GCF_002901205.1		Primary Assembly	Un			PDCF01010645.1	Chromosome		NW_019777272.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010646.1	Chromosome		NW_019777273.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010647.1	Chromosome		NW_019777274.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010648.1	Chromosome		NW_019777275.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010649.1	Chromosome		NW_019777276.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010651.1	Chromosome		NW_019777277.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010652.1	Chromosome		NW_019777278.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010653.1	Chromosome		NW_019777279.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010654.1	Chromosome		NW_019777280.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01001070.1	Chromosome		NW_019777281.1	unplaced-scaffold	15005		
GCF_002901205.1		Primary Assembly	Un			PDCF01010655.1	Chromosome		NW_019777282.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010656.1	Chromosome		NW_019777283.1	unplaced-scaffold	2340		
GCF_002901205.1		Primary Assembly	Un			PDCF01010657.1	Chromosome		NW_019777284.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010658.1	Chromosome		NW_019777285.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010659.1	Chromosome		NW_019777286.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010660.1	Chromosome		NW_019777287.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010661.1	Chromosome		NW_019777288.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010662.1	Chromosome		NW_019777289.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010663.1	Chromosome		NW_019777290.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010664.1	Chromosome		NW_019777291.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01001071.1	Chromosome		NW_019777292.1	unplaced-scaffold	15000		
GCF_002901205.1		Primary Assembly	Un			PDCF01010665.1	Chromosome		NW_019777293.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010666.1	Chromosome		NW_019777294.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010667.1	Chromosome		NW_019777295.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010668.1	Chromosome		NW_019777296.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010669.1	Chromosome		NW_019777297.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010670.1	Chromosome		NW_019777298.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010671.1	Chromosome		NW_019777299.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010672.1	Chromosome		NW_019777300.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010673.1	Chromosome		NW_019777301.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010674.1	Chromosome		NW_019777302.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01001072.1	Chromosome		NW_019777303.1	unplaced-scaffold	14999		
GCF_002901205.1		Primary Assembly	Un			PDCF01010675.1	Chromosome		NW_019777304.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010676.1	Chromosome		NW_019777305.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010677.1	Chromosome		NW_019777306.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010678.1	Chromosome		NW_019777307.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010679.1	Chromosome		NW_019777308.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010680.1	Chromosome		NW_019777309.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010681.1	Chromosome		NW_019777310.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010682.1	Chromosome		NW_019777311.1	unplaced-scaffold	2339		
GCF_002901205.1		Primary Assembly	Un			PDCF01010683.1	Chromosome		NW_019777312.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010684.1	Chromosome		NW_019777313.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01001073.1	Chromosome		NW_019777314.1	unplaced-scaffold	14994		
GCF_002901205.1		Primary Assembly	Un			PDCF01010685.1	Chromosome		NW_019777315.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010686.1	Chromosome		NW_019777316.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010687.1	Chromosome		NW_019777317.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010688.1	Chromosome		NW_019777318.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010689.1	Chromosome		NW_019777319.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010690.1	Chromosome		NW_019777320.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010691.1	Chromosome		NW_019777321.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010692.1	Chromosome		NW_019777322.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010693.1	Chromosome		NW_019777323.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010694.1	Chromosome		NW_019777324.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01001074.1	Chromosome		NW_019777325.1	unplaced-scaffold	14989		
GCF_002901205.1		Primary Assembly	Un			PDCF01010695.1	Chromosome		NW_019777326.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010696.1	Chromosome		NW_019777327.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010697.1	Chromosome		NW_019777328.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010698.1	Chromosome		NW_019777329.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010699.1	Chromosome		NW_019777330.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010700.1	Chromosome		NW_019777331.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010701.1	Chromosome		NW_019777332.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010702.1	Chromosome		NW_019777333.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010703.1	Chromosome		NW_019777334.1	unplaced-scaffold	2338		
GCF_002901205.1		Primary Assembly	Un			PDCF01010704.1	Chromosome		NW_019777335.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01001075.1	Chromosome		NW_019777336.1	unplaced-scaffold	14986		
GCF_002901205.1		Primary Assembly	Un			PDCF01010705.1	Chromosome		NW_019777337.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010706.1	Chromosome		NW_019777338.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010707.1	Chromosome		NW_019777339.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010708.1	Chromosome		NW_019777340.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010709.1	Chromosome		NW_019777341.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010710.1	Chromosome		NW_019777342.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010711.1	Chromosome		NW_019777343.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010712.1	Chromosome		NW_019777344.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010713.1	Chromosome		NW_019777345.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010714.1	Chromosome		NW_019777346.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01001076.1	Chromosome		NW_019777347.1	unplaced-scaffold	14980		
GCF_002901205.1		Primary Assembly	Un			PDCF01010715.1	Chromosome		NW_019777348.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010716.1	Chromosome		NW_019777349.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010717.1	Chromosome		NW_019777350.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010718.1	Chromosome		NW_019777351.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010719.1	Chromosome		NW_019777352.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010720.1	Chromosome		NW_019777353.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010721.1	Chromosome		NW_019777354.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010722.1	Chromosome		NW_019777355.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010723.1	Chromosome		NW_019777356.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010724.1	Chromosome		NW_019777357.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01001077.1	Chromosome		NW_019777358.1	unplaced-scaffold	14960		
GCF_002901205.1		Primary Assembly	Un			PDCF01010725.1	Chromosome		NW_019777359.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010726.1	Chromosome		NW_019777360.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010727.1	Chromosome		NW_019777361.1	unplaced-scaffold	2337		
GCF_002901205.1		Primary Assembly	Un			PDCF01010728.1	Chromosome		NW_019777362.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010729.1	Chromosome		NW_019777363.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010730.1	Chromosome		NW_019777364.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010731.1	Chromosome		NW_019777365.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010732.1	Chromosome		NW_019777366.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010733.1	Chromosome		NW_019777367.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010734.1	Chromosome		NW_019777368.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01001078.1	Chromosome		NW_019777369.1	unplaced-scaffold	14959		
GCF_002901205.1		Primary Assembly	Un			PDCF01010736.1	Chromosome		NW_019777370.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010737.1	Chromosome		NW_019777371.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010738.1	Chromosome		NW_019777372.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010739.1	Chromosome		NW_019777373.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010740.1	Chromosome		NW_019777374.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010741.1	Chromosome		NW_019777375.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010742.1	Chromosome		NW_019777376.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010743.1	Chromosome		NW_019777377.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01001079.1	Chromosome		NW_019777378.1	unplaced-scaffold	14957		
GCF_002901205.1		Primary Assembly	Un			PDCF01010745.1	Chromosome		NW_019777379.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010746.1	Chromosome		NW_019777380.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010747.1	Chromosome		NW_019777381.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010748.1	Chromosome		NW_019777382.1	unplaced-scaffold	2336		
GCF_002901205.1		Primary Assembly	Un			PDCF01010749.1	Chromosome		NW_019777383.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010750.1	Chromosome		NW_019777384.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010751.1	Chromosome		NW_019777385.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010752.1	Chromosome		NW_019777386.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010753.1	Chromosome		NW_019777387.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010754.1	Chromosome		NW_019777388.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01001080.1	Chromosome		NW_019777389.1	unplaced-scaffold	14948		
GCF_002901205.1		Primary Assembly	Un			PDCF01010755.1	Chromosome		NW_019777390.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010756.1	Chromosome		NW_019777391.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010757.1	Chromosome		NW_019777392.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010758.1	Chromosome		NW_019777393.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010759.1	Chromosome		NW_019777394.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010760.1	Chromosome		NW_019777395.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010761.1	Chromosome		NW_019777396.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010762.1	Chromosome		NW_019777397.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010763.1	Chromosome		NW_019777398.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01010764.1	Chromosome		NW_019777399.1	unplaced-scaffold	2335		
GCF_002901205.1		Primary Assembly	Un			PDCF01001081.1	Chromosome		NW_019777400.1	unplaced-scaffold	14904		
GCF_002901205.1		Primary Assembly	Un			PDCF01010765.1	Chromosome		NW_019777401.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010766.1	Chromosome		NW_019777402.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010767.1	Chromosome		NW_019777403.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010768.1	Chromosome		NW_019777404.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010769.1	Chromosome		NW_019777405.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010770.1	Chromosome		NW_019777406.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010771.1	Chromosome		NW_019777407.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010772.1	Chromosome		NW_019777408.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010773.1	Chromosome		NW_019777409.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010774.1	Chromosome		NW_019777410.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01001082.1	Chromosome		NW_019777411.1	unplaced-scaffold	14899		
GCF_002901205.1		Primary Assembly	Un			PDCF01010775.1	Chromosome		NW_019777412.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010776.1	Chromosome		NW_019777413.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010777.1	Chromosome		NW_019777414.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010778.1	Chromosome		NW_019777415.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010779.1	Chromosome		NW_019777416.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010780.1	Chromosome		NW_019777417.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010781.1	Chromosome		NW_019777418.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010782.1	Chromosome		NW_019777419.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010783.1	Chromosome		NW_019777420.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010784.1	Chromosome		NW_019777421.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01001083.1	Chromosome		NW_019777422.1	unplaced-scaffold	14889		
GCF_002901205.1		Primary Assembly	Un			PDCF01010785.1	Chromosome		NW_019777423.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010786.1	Chromosome		NW_019777424.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010787.1	Chromosome		NW_019777425.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010788.1	Chromosome		NW_019777426.1	unplaced-scaffold	2334		
GCF_002901205.1		Primary Assembly	Un			PDCF01010789.1	Chromosome		NW_019777427.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010790.1	Chromosome		NW_019777428.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010791.1	Chromosome		NW_019777429.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010792.1	Chromosome		NW_019777430.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010793.1	Chromosome		NW_019777431.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010794.1	Chromosome		NW_019777432.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01001084.1	Chromosome		NW_019777433.1	unplaced-scaffold	14882		
GCF_002901205.1		Primary Assembly	Un			PDCF01010795.1	Chromosome		NW_019777434.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010796.1	Chromosome		NW_019777435.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010797.1	Chromosome		NW_019777436.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010798.1	Chromosome		NW_019777437.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010799.1	Chromosome		NW_019777438.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010800.1	Chromosome		NW_019777439.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010801.1	Chromosome		NW_019777440.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010802.1	Chromosome		NW_019777441.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010803.1	Chromosome		NW_019777442.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010804.1	Chromosome		NW_019777443.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01001085.1	Chromosome		NW_019777444.1	unplaced-scaffold	14879		
GCF_002901205.1		Primary Assembly	Un			PDCF01010805.1	Chromosome		NW_019777445.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010806.1	Chromosome		NW_019777446.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010807.1	Chromosome		NW_019777447.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010808.1	Chromosome		NW_019777448.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010809.1	Chromosome		NW_019777449.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010810.1	Chromosome		NW_019777450.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010811.1	Chromosome		NW_019777451.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010812.1	Chromosome		NW_019777452.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010813.1	Chromosome		NW_019777453.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010814.1	Chromosome		NW_019777454.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01001086.1	Chromosome		NW_019777455.1	unplaced-scaffold	14871		
GCF_002901205.1		Primary Assembly	Un			PDCF01010815.1	Chromosome		NW_019777456.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010816.1	Chromosome		NW_019777457.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010817.1	Chromosome		NW_019777458.1	unplaced-scaffold	2333		
GCF_002901205.1		Primary Assembly	Un			PDCF01010818.1	Chromosome		NW_019777459.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010819.1	Chromosome		NW_019777460.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010820.1	Chromosome		NW_019777461.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010821.1	Chromosome		NW_019777462.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010822.1	Chromosome		NW_019777463.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010823.1	Chromosome		NW_019777464.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010824.1	Chromosome		NW_019777465.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01001087.1	Chromosome		NW_019777466.1	unplaced-scaffold	14850		
GCF_002901205.1		Primary Assembly	Un			PDCF01010825.1	Chromosome		NW_019777467.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010826.1	Chromosome		NW_019777468.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010827.1	Chromosome		NW_019777469.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010828.1	Chromosome		NW_019777470.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010829.1	Chromosome		NW_019777471.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010830.1	Chromosome		NW_019777472.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010831.1	Chromosome		NW_019777473.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010832.1	Chromosome		NW_019777474.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010833.1	Chromosome		NW_019777475.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010834.1	Chromosome		NW_019777476.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01001088.1	Chromosome		NW_019777477.1	unplaced-scaffold	14840		
GCF_002901205.1		Primary Assembly	Un			PDCF01010835.1	Chromosome		NW_019777478.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010836.1	Chromosome		NW_019777479.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010837.1	Chromosome		NW_019777480.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010838.1	Chromosome		NW_019777481.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010839.1	Chromosome		NW_019777482.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010840.1	Chromosome		NW_019777483.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010841.1	Chromosome		NW_019777484.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010842.1	Chromosome		NW_019777485.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010843.1	Chromosome		NW_019777486.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010844.1	Chromosome		NW_019777487.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01001089.1	Chromosome		NW_019777488.1	unplaced-scaffold	14840		
GCF_002901205.1		Primary Assembly	Un			PDCF01010845.1	Chromosome		NW_019777489.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010846.1	Chromosome		NW_019777490.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010847.1	Chromosome		NW_019777491.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010848.1	Chromosome		NW_019777492.1	unplaced-scaffold	2332		
GCF_002901205.1		Primary Assembly	Un			PDCF01010849.1	Chromosome		NW_019777493.1	unplaced-scaffold	2331		
GCF_002901205.1		Primary Assembly	Un			PDCF01010850.1	Chromosome		NW_019777494.1	unplaced-scaffold	2331		
GCF_002901205.1		Primary Assembly	Un			PDCF01010852.1	Chromosome		NW_019777495.1	unplaced-scaffold	2331		
GCF_002901205.1		Primary Assembly	Un			PDCF01010853.1	Chromosome		NW_019777496.1	unplaced-scaffold	2331		
GCF_002901205.1		Primary Assembly	Un			PDCF01010854.1	Chromosome		NW_019777497.1	unplaced-scaffold	2331		
GCF_002901205.1		Primary Assembly	Un			PDCF01001090.1	Chromosome		NW_019777498.1	unplaced-scaffold	14835		
GCF_002901205.1		Primary Assembly	Un			PDCF01010855.1	Chromosome		NW_019777499.1	unplaced-scaffold	2331		
